原名,拉丁名,英语,简体中文,繁體中文,粤语(繁体),日语,俄语,法语,葡萄牙语,西班牙语,越南语,朝鲜语
百九十,190,,百九十,百九十,百九十,190,cent quatre-vingt-dix,cento e noventa,ciento noventa,một trăm chín mươi,백구십
樱落繁花,A Reincarnation of a Scattering Spring,,樱落繁花,櫻落繁花,櫻落繁花,,"Перерождение рассыпающейся весны","Réincarnation d’un printemps épars","A Reencarnação de uma Primavera Esparsa","La reencarnación de una primavera dispersa","Tái sinh của mùa xuân tản mác","흩어진 봄의 환생"
Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma
Agnostic,Agnostic,Agnostic,不可知论,不可知論,不可知論,,Агностик,Agnostique,Agnóstico,Agnóstico,Bất khả tri,불가지론
灯ノ桜蝶,Akashinosakuracho,,灯之樱蝶,燈之櫻蝶,燈之櫻蝶,Akashinosakuracho,"Сакура-бабочка фонаря","Papillon-sakura de la lanterne","Borboleta-sakura da lanterna","Mariposa de cerezo de la linterna","Bướm anh đào của đèn lồng","등롱의 벚꽃나비"
Aleph-0,Aleph-0,Aleph-0,阿列夫-0,阿列夫-0,阿列夫-0,,Алеф-ноль,Aleph-zéro,Aleph-zero,Aleph-cero,Aleph-0,알레프-0
Algebra,Algebra,Algebra,代数,代數,代數,,Алгебра,Algèbre,Álgebra,Álgebra,Đại số,대수학
雨女,Ameonna,,雨女,雨女,雨女,雨女,Женщина-дождь,Femme de pluie,Mulher da chuva,Mujer de la lluvia,Cô gái mưa,비여자
Autumn Rain,Autumn Rain,Autumn Rain,秋雨,秋雨,秋雨,,Осенний дождь,Pluie d’automne,Chuva de outono,Lluvia de otoño,Mưa mùa thu,가을비
BUCHiAGE Fireworks,BUCHiAGE Fireworks,BUCHiAGE Fireworks,BUCHiAGE烟花,BUCHiAGE煙花,BUCHiAGE煙花,,Фейерверки BUCHiAGE,Feux d’artifice BUCHiAGE,Fogos de artifício BUCHiAGE,Fuegos artificiales BUCHiAGE,Pháo hoa BUCHiAGE,BUCHiAGE 불꽃놀이
Before it Ends,Before it Ends,Before it Ends,在结束之前,在結束之前,喺結束之前,,Прежде чем всё закончится,Avant que ça ne finisse,Antes que termine,Antes de que termine,Trước khi kết thúc,끝나기 전에
参宿四~Betelgeuse~,Betelgeuse,,参宿四~Betelgeuse~,參宿四~Betelgeuse~,參宿四~Betelgeuse~,,Бетельгейзе,Bételgeuse,Betelgeuse,Betelgeuse,Betelgeuse,베텔게우스
Bio-Engineering,Bio-Engineering,Bio-Engineering,生物工程,生物工程,生物工程,,Биоинженерия,Bio-ingénierie,Bioengenharia,Bioingeniería,Kỹ thuật sinh học,생명공학
☹,Blueface,Blueface,蓝脸,藍臉,藍面,,Blueface,Blueface,Blueface,Blueface,Blueface,Blueface
Brightened Demonios,Brightened Demonios,Brightened Demonios,亮化的Demonios,亮化的Demonios,亮化嘅Demonios,,Просветлённые Демониос,Demonios éclaircis,Demonios Iluminados,Demonios iluminados,Demonios rực sáng,밝아진 데모니오스
Broken Conviction,Broken Conviction,Broken Conviction,破碎的信念,破碎的信念,破碎嘅信念,,Сломленная убеждённость,Conviction brisée,Convicção quebrada,Convicción rota,Niềm tin tan vỡ,부서진 신념
雨之城,Castle in the Rain,,雨之城,雨之城,雨之城,,"Замок под дождём","Château sous la pluie","Castelo na chuva","Castillo en la lluvia","Lâu đài trong mưa","비 속의 성"
Chartreuse Green,Chartreuse Green,Chartreuse Green,黄绿色,黃綠色,黃綠色,,Шартрезовый зелёный,Vert chartreuse,Verde chartreuse,Verde chartreuse,Xanh chartreuse,샤르트뢰즈 그린
Contrasty Angeles,Contrasty Angeles,Contrasty Angeles,对比的Angeles,對比的Angeles,對比強烈嘅Angeles,,Контрастные Анхелес,Angeles contrastés,Angeles contrastantes,Ángeles contrastados,Angeles tương phản,대비되는 앙헬레스
Curse of 14,Curse of 14,Curse of 14,14的诅咒,14的詛咒,14嘅詛咒,,Проклятие 14,Malédiction de 14,Maldição de 14,Maldición de 14,Lời nguyền của 14,14의 저주
Deluge,Deluge,Deluge,洪水,洪水,洪水,,Потоп,Déluge,Dilúvio,Diluvio,Đại hồng thủy,대홍수
Dogbite,Dogbite,Dogbite,狗咬,狗咬,狗咬,,Укус собаки,Morsure de chien,Mordida de cachorro,Mordida de perro,Vết chó cắn,개물림
Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,,Дум! Дум!! Дум!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,Dum! Dum!! Dum!!!,덤! 덤!! 덤!!!
Elsorhg,Elsorhg,Elsorhg,Elsorhg,Elsorhg,Elsorhg,,Elsorhg,Elsorhg,Elsorhg,Elsorhg,Elsorhg,Elsorhg
Ephemeric World,Ephemeric World,Ephemeric World,短暂的世界,短暫的世界,短暫世界,,Эфемерный мир,Monde éphémère,Mundo efêmero,Mundo efímero,Thế giới phù du,덧없는 세계
时落之雨,Episodic Rain,,时落之雨,時落之雨,時落之雨,,"Эпизодический дождь","Pluie épisodique","Chuva episódica","Lluvia episódica","Mưa từng đợt","간헐적 비"
选择你的宽带,"Excellent broadband, which makes my internet speed spin",,"选择你的宽带","選擇你的寬帶","揀你嘅寬帶",,"Отличный интернет, от которого скорость кружится","Excellent haut débit, qui fait tourner ma vitesse","Banda larga excelente, que faz minha velocidade girar","Banda ancha excelente, que hace girar mi velocidad","Băng rộng tuyệt vời, khiến tốc độ mạng của tôi quay cuồng","속도가 빙글도는 훌륭한 광대역"
FULi AUTO SHOOTER,FULi AUTO SHOOTER,FULi AUTO SHOOTER,FULi自动射击,FULi自動射擊,FULi自動射擊,,Автошутер FULi,Auto-shooter FULi,Auto shooter FULi,Auto shooter FULi,Auto shooter FULi,FULi 오토 슈터
Fantasia Sonata Arcadia,Fantasia Sonata Arcadia,Fantasia Sonata Arcadia,幻想奏鸣曲：阿卡迪亚,幻想奏鳴曲：阿卡迪亞,幻想奏鳴曲：阿卡迪亞,,"Фантазия-соната: Аркадия","Sonate Fantasia : Arcadia","Sonata Fantasia: Arcadia","Sonata Fantasía: Arcadia","Sonata Fantasia: Arcadia","판타지아 소나타: 아르카디아"
Fantasia Sonata Botanical Garden,Fantasia Sonata Botanical Garden,Fantasia Sonata Botanical Garden,幻想奏鸣曲：植物园,幻想奏鳴曲：植物園,幻想奏鳴曲：植物園,,"Фантазия-соната: Ботанический сад","Sonate Fantasia : Jardin botanique","Sonata Fantasia: Jardim Botânico","Sonata Fantasía: Jardín Botánico","Sonata Fantasia: Vườn thực vật","판타지아 소나타: 식물원"
Fantasia Sonata God Dance,Fantasia Sonata God Dance,Fantasia Sonata God Dance,幻想奏鸣曲：神之舞,幻想奏鳴曲：神之舞,幻想奏鳴曲：神之舞,,"Фантазия-соната: Танец богов","Sonate Fantasia : Danse divine","Sonata Fantasia: Dança dos Deuses","Sonata Fantasía: Danza de los dioses","Sonata Fantasia: Vũ điệu thần thánh","판타지아 소나타: 신들의 춤"
Fantasia Sonata Hope,Fantasia Sonata Hope,Fantasia Sonata Hope,幻想奏鸣曲：希望,幻想奏鳴曲：希望,幻想奏鳴曲：希望,,"Фантазия-соната: Надежда","Sonate Fantasia : Espoir","Sonata Fantasia: Esperança","Sonata Fantasía: Esperanza","Sonata Fantasia: Hy vọng","판타지아 소나타: 희망"
Fantasia Sonata Reflection,Fantasia Sonata Reflection,Fantasia Sonata Reflection,幻想奏鸣曲：映照,幻想奏鳴曲：映照,幻想奏鳴曲：映照,,"Фантазия-соната: Отражение","Sonate Fantasia : Reflet","Sonata Fantasia: Reflexão","Sonata Fantasía: Reflexión","Sonata Fantasia: Phản chiếu","판타지아 소나타: 반영"
Fantasia Sonata Sky Syndrome,Fantasia Sonata Sky Syndrome,Fantasia Sonata Sky Syndrome,幻想奏鸣曲：天空综合征,幻想奏鳴曲：天空綜合症,幻想奏鳴曲：天空綜合症,,"Фантазия-соната: Небесный синдром","Sonate Fantasia : Syndrome du ciel","Sonata Fantasia: Síndrome do Céu","Sonata Fantasía: Síndrome del cielo","Sonata Fantasia: Hội chứng bầu trời","판타지아 소나타: 하늘 증후군"
Fantasia Sonata Stars,Fantasia Sonata Stars,Fantasia Sonata Stars,幻想奏鸣曲：群星,幻想奏鳴曲：群星,幻想奏鳴曲：群星,,"Фантазия-соната: Звёзды","Sonate Fantasia : Étoiles","Sonata Fantasia: Estrelas","Sonata Fantasía: Estrellas","Sonata Fantasia: Những vì sao","판타지아 소나타: 별들"
Fluorescent Light,Fluorescent Light,Fluorescent Light,荧光灯,螢光燈,螢光燈,,Флуоресцентный свет,Lumière fluorescente,Luz fluorescente,Luz fluorescente,Ánh sáng huỳnh quang,형광등
Fly To Meteor (Milthm Edit),Fly To Meteor (Milthm Edit),Fly To Meteor (Milthm Edit),飞向流星（Milthm edit）,飛向流星（Milthm Edit）,飛向流星（Milthm Edit）,,"Полет к метеору (ред. Milthm)","Vol vers le météore (édit Milthm)","Voar até o meteoro (Edit Milthm)","Volar al meteoro (Edit Milthm)","Bay tới thiên thạch (Bản Milthm)","유성으로 날아가 (Milthm 편집)"
Fly To Meteor feat.兔柒 (Milthm Edit),Fly To Meteor feat.TuQi (Milthm Edit),Fly To Meteor feat.TuQi (Milthm Edit),飞向流星 feat.兔柒（Milthm Edit）,飛向流星 feat.兔柒（Milthm Edit）,飛向流星 feat.兔柒（Milthm Edit）,,"Полет к метеору feat. TuQi (ред. Milthm)","Vol vers le météore feat. TuQi (édit Milthm)","Voar até o meteoro feat. TuQi (Edit Milthm)","Volar al meteoro feat. TuQi (Edit Milthm)","Bay tới thiên thạch feat. TuQi (Bản Milthm)","유성으로 날아가 feat. TuQi (Milthm 편집)"
Fragment of Memories,Fragment of Memories,Fragment of Memories,记忆碎片,記憶碎片,記憶碎片,,Осколок воспоминаний,Fragment de souvenirs,Fragmento de memórias,Fragmento de recuerdos,Mảnh ký ức,기억의 조각
Future Unbound (Game Edit),Future Unbound (Game Edit),Future Unbound (Game Edit),解缚未来（Game Edit）,解縛未來（Game Edit）,解縛未來（Game Edit）,,"Освобождённое будущее (игровая версия)","Futur libéré (version jeu)","Futuro sem amarras (Edit do jogo)","Futuro sin ataduras (Edit del juego)","Tương lai không ràng buộc (Bản game)","속박 없는 미래 (게임 편집)"
Garden,Garden,Garden,花园,花園,花園,,Сад,Jardin,Jardim,Jardín,Vườn,정원
GlassyHeart.,GlassyHeart.,GlassyHeart.,玻璃之心,玻璃之心,玻璃心,,Стеклянное сердце.,Cœur de verre.,Coração de vidro.,Corazón de vidrio.,Trái tim kính.,유리 심장.
HYPER MEMORIES,HYPER MEMORIES,HYPER MEMORIES,超量记忆,超量記憶,超量記憶,,Гиперпамять,Souvenirs hyper,Memórias Hiper,Memorias Híper,Ký ức siêu tốc,하이퍼 메모리즈
はんてん,Hanten,,半纏,半纏,半纏,Hanten,Хантэн,Hanten,Hanten,Hanten,Hanten,한텐
Hikari,Hikari,Hikari,光,光,光,,Хикари,Hikari,Hikari,Hikari,Hikari,히카리
ホシフルヨルニ,Hoshifuru Yoruni,,星降之夜,星降之夜,星降之夜,Hoshifuru Yoruni,"Звёздная ночь","Nuit où les étoiles tombent","Noite de estrelas cadentes","Noche de estrellas fugaces","Đêm sao rơi","별이 내리는 밤"
IN,IN,IN,在内,在內,喺內,,Внутри,Dedans,Dentro,Dentro,Bên trong,인
INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3,,INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3,INFP.mp3
仮想明日,Imaginary Tomorrow,,仮想明日,仮想明日,仮想明日,仮想明日,"Воображаемое завтра","Demain imaginaire","Amanhã imaginário","Mañana imaginario","Ngày mai tưởng tượng","상상의 내일"
Innocent white,Innocent white,Innocent white,纯白,純白,純白,,Невинный белый,Blanc innocent,Branco inocente,Blanco inocente,Trắng ngây thơ,순백
Jump out?,Jump out?,Jump out?,跳出去？,跳出去？,跳出去？,,Выпрыгнуть?,Sauter dehors?,Saltar para fora?,¿Saltar fuera?,Nhảy ra?,뛰쳐나갈까?
KAEDE,KAEDE,KAEDE,枫,楓,楓,,Кэдэ,Kaede,Kaede,Kaede,Kaede,카에데
KASANE,KASANE,KASANE,重叠,重疊,重疊,,Касанэ,Kasane,Kasane,Kasane,Kasane,카사네
花月,Kagetsu,,花月,花月,花月,花月,Лунные цветы,Lune fleurie,Lua e flores,Luna flor,Trăng hoa,화월
Kayava,Kayava,Kayava,Kayava,Kayava,Kayava,,Kayava,Kayava,Kayava,Kayava,Kayava,카야바
LOUDER!,LOUDER!,LOUDER!,更大声！,更大聲！,更大聲！,,ГРОМЧЕ!,PLUS FORT!,MAIS ALTO!,¡MÁS FUERTE!,TO HƠN!,더 크게!
LiFE Garden,LiFE Garden,LiFE Garden,LiFE花园,LiFE花園,LiFE花園,,Сад LiFE,Jardin LiFE,Jardim LiFE,Jardín LiFE,Vườn LiFE,LiFE 가든
LiFE Garden (Extended Mix),LiFE Garden (Extended Mix),LiFE Garden (Extended Mix),LiFE花园（加长版）,LiFE花園（加長版）,LiFE花園（加長版）,,"Сад LiFE (расширенный микс)","Jardin LiFE (mix étendu)","Jardim LiFE (Extended Mix)","Jardín LiFE (Extended Mix)","Vườn LiFE (Bản mở rộng)","LiFE 가든 (익스텐디드 믹스)"
命日,Meinichi,,命日,命日,命日,命日,День смерти,Jour anniversaire de décès,Dia de falecimento,Día del fallecimiento,Ngày giỗ,기일
Melody to Heaven,Melody to Heaven,Melody to Heaven,通往天堂的旋律,通往天堂的旋律,通往天堂嘅旋律,,\"Мелодия к небесам\",\"Mélodie vers le ciel\",\"Melodia para o céu\",\"Melodía hacia el cielo\",\"Giai điệu lên trời\",\"천국으로의 선율\"
Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys,Meltovt Necrosys
大月墜落狂想,Moonfall,,大月墜落狂想,大月墜落狂想,大月墜落狂想,大月墜落狂想,"Падение луны","Chute de la lune","Queda da Lua","Caída de la luna","Trăng rơi","문폴"
Moonflutter,Moonflutter,Moonflutter,月之颤动,月之顫動,月之顫動,,Лунное трепетание,Papillonnement lunaire,Ondulação lunar,Aleteo lunar,Rung động trăng,달의 나빌레라
Moving On,Moving On,Moving On,继续前行,繼續前行,繼續前行,,Двигаться дальше,Aller de l’avant,Seguindo em frente,Seguir adelante,Tiến bước,앞으로 나아가기
Myth compiler,Myth compiler,Myth compiler,神话编译器,神話編譯器,神話編譯器,,Компилятор мифов,Compilateur de mythes,Compilador de mitos,Compilador de mitos,Trình biên dịch thần thoại,신화 컴파일러
ネオン色のまち feat. Mai,Neon Iro no Machi feat. Mai,,霓虹色的街道 feat. Mai,霓虹色的街道 feat. Mai,霓虹色嘅街道 feat. Mai,Neon Iro no Machi feat. Mai,,"Ville couleur néon feat. Mai","Cidade cor néon feat. Mai","Ciudad de color neón feat. Mai","Thành phố màu neon feat. Mai","네온빛 거리 feat. Mai"
ニニ (feat. Qayo & mii),Nini (feat. Qayo & mii),,妮妮（feat. Qayo & mii）,妮妮（feat. Qayo & mii）,妮妮（feat. Qayo & mii）,Nini (feat. Qayo & mii),Nini (feat. Qayo & mii),Nini (feat. Qayo & mii),Nini (feat. Qayo & mii),Nini (feat. Qayo & mii),Nini (feat. Qayo & mii),니니 (feat. Qayo & mii)
Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai,Oiiaioooooiai
Oniichan,Oniichan,Oniichan,欧尼酱,歐尼醬,歐尼醬,,\"Ониичан\",\"Oniichan\",\"Oniichan\",\"Oniichan\",\"Oniichan\",\"오니짱\"
OverRain,OverRain,OverRain,雨上,雨上,雨上,,Над дождём,Au-dessus de la pluie,Sobre a chuva,Sobre la lluvia,Trên cơn mưa,비 너머
サイクルの欠片,Pieces of the Cycle,,循环的碎片,循環的碎片,循環嘅碎片,Pieces of the Cycle,Pieces of the Cycle,"Fragments du cycle","Fragmentos do ciclo","Fragmentos del ciclo","Mảnh của chu kỳ","사이클의 조각"
Polyridia,Polyridia,Polyridia,Polyridia,Polyridia,Polyridia,,Polyridia,Polyridia,Polyridia,Polyridia,Polyridia,폴리리디아
Psyched Fevereiro,Psyched Fevereiro,Psyched Fevereiro,迷幻二月,迷幻二月,迷幻二月,,"Психоделический февраль","Février psychédélique","Fevereiro psicodélico","Febrero psicodélico","Tháng Hai ảo giác","사이키델릭 2월"
Pthahnil,Pthahnil,Pthahnil,Pthahnil,Pthahnil,Pthahnil,,Pthahnil,Pthahnil,Pthahnil,Pthahnil,Pthahnil,Pthahnil
Rainbow Flavor!,Rainbow Flavor!,Rainbow Flavor!,彩虹味！,彩虹味！,彩虹味！,,Вкус радуги!,Saveur arc-en-ciel!,Sabor arco-íris!,¡Sabor a arcoíris!,Hương vị cầu vồng!,무지개 맛!
驟雨の狭間,Rainshower,,驟雨の狭間,驟雨の狭間,驟雨の狭間,驟雨の狭間,Ливень,Averse,Aguaceiro,Aguacero,Mưa rào,소나기
Regnaissance,Regnaissance,Regnaissance,王权新生,王權新生,王權新生,,Регнейссанс,Renaissance régale,Regnaissance,Regnaissance,Regnaissance,레그네상스
靈,Rei,,靈,靈,靈,靈,Дух,Esprit,Espírito,Espíritu,Linh hồn,령
暮予星光,Reminiscence in Starlight,,暮予星光,暮予星光,暮予星光,,"Воспоминание в звездном свете","Rémiscence sous la lumière des étoiles","Reminiscência à luz das estrelas","Reminiscencia a la luz de las estrellas","Hồi ức trong ánh sao","별빛 속 회상"
Sakuyahime,Sakuyahime,Sakuyahime,咲夜姬,咲夜姬,咲夜姬,,Сакуяхимэ,Sakuyahime,Sakuyahime,Sakuyahime,Sakuyahime,사쿠야히메
Sheer Ice Torrent,Sheer Ice Torrent,Sheer Ice Torrent,纯冰激流,純冰激流,純冰激流,,"Поток чистого льда","Torrent de glace pure","Torrente de gelo puro","Torrente de hielo puro","Dòng thác băng tinh khiết","순수한 빙류"
いつか忘れるんだろう,"Someday, I will Forget","Someday, I will Forget",总有一天我会忘记,總有一天我會忘記,總有一日我會忘記,,"Someday, I will Forget","Un jour, j’oublierai","Um dia, eu vou esquecer","Algún día, olvidaré","Một ngày nào đó, tôi sẽ quên","언젠가 나는 잊겠지"
Sound of Nature,Sound of Nature,Sound of Nature,自然之声,自然之聲,自然之聲,,Звук природы,Sons de la nature,Som da natureza,Sonido de la naturaleza,Âm thanh thiên nhiên,자연의 소리
烁雨,Sparkrain,,烁雨,爍雨,爍雨,,"Искристый дождь","Pluie étincelante","Chuva cintilante","Lluvia centelleante","Mưa lấp lánh","반짝비"
Splash the Beat!!,Splash the Beat!!,Splash the Beat!!,溅起节拍！！,濺起節拍！！,濺起節拍！！,,"Всплеск ритма!!","Éclabousse le beat !!","Salpique o beat!!","¡Salpica el beat!!","Té nước nhịp điệu!!","비트 스플래시!!"
Sundown,Sundown,Sundown,日落,日落,日落,,Закат,Coucher du soleil,Pôr do sol,Atardecer,Hoàng hôn,해질녘
粗线条的雨,Thick Rain,,粗线条的雨,粗線條的雨,粗線條嘅雨,,"Густой дождь","Pluie épaisse","Chuva grossa","Lluvia espesa","Mưa nặng hạt","굵은 비"
Threat - Metropolis,Threat - Metropolis,Threat - Metropolis,威胁 - 都市,威脅 - 都市,威脅 - 都市,,"Угроза — Метрополис","Menace — Métropole","Ameaça — Metrópole","Amenaza — Metrópolis","Mối đe doạ — Đô thị","위협 - 메트로폴리스"
Threat - Sky Islands,Threat - Sky Islands,Threat - Sky Islands,威胁 - 天空群岛,威脅 - 天空群島,威脅 - 天空群島,,"Угроза — Небесные острова","Menace — Îles célestes","Ameaça — Ilhas do Céu","Amenaza — Islas del cielo","Mối đe doạ — Đảo trời","위협 - 하늘섬"
Threat - Superstructure,Threat - Superstructure,Threat - Superstructure,威胁 - 超结构,威脅 - 超結構,威脅 - 超結構,,"Угроза — Суперструктура","Menace — Superstructure","Ameaça — Superestrutura","Amenaza — Superestructura","Mối đe doạ — Siêu cấu trúc","위협 - 슈퍼스트럭처"
Threat - Waterfront Complex,Threat - Waterfront Complex,Threat - Waterfront Complex,威胁 - 滨水综合体,威脅 - 濱水綜合體,威脅 - 濱水綜合體,,"Угроза — Набережный комплекс","Menace — Complexe du front d’eau","Ameaça — Complexo da orla","Amenaza — Complejo costero","Mối đe doạ — Khu phức hợp bờ nước","위협 - 워터프런트 콤플렉스"
白虎蓮華,Tiger Lotus,,白虎蓮華,白虎蓮華,白虎蓮華,白虎蓮華,"Белый тигр и лотос","Lotus du tigre blanc","Lótus do Tigre Branco","Loto del Tigre Blanco","Liên hoa Bạch Hổ","백호 연화"
運命,Unmei,,運命,運命,運命,運命,Судьба,Destin,Destino,Destino,Định mệnh,운명
Vestige of Dreams,Vestige of Dreams,Vestige of Dreams,梦的残迹,夢的殘跡,夢嘅殘跡,,Остаток снов,Vestige de rêves,Vestígio de sonhos,Vestigio de sueños,Dấu tích của giấc mơ,꿈의 흔적
Virtual S0da,Virtual S0da,Virtual S0da,虚拟苏打,虛擬蘇打,虛擬蘇打,,Виртуальная сода,Soda virtuelle,S0da virtual,S0da virtual,S0da ảo,버추얼 소다
WATER,WATER,WATER,水,水,水,,ВОДА,EAU,ÁGUA,AGUA,NƯỚC,물
Welcome to Milthm,Welcome to Milthm,Welcome to Milthm,欢迎来到Milthm,歡迎來到Milthm,歡迎嚟到Milthm,,"Добро пожаловать в Milthm","Bienvenue à Milthm","Bem-vindo ao Milthm","Bienvenido a Milthm","Chào mừng đến Milthm","Milthm에 오신 것을 환영합니다"
White Lizard,White Lizard,White Lizard,白蜥蜴,白蜥蜴,白蜥蜴,,Белая ящерица,Lézard blanc,Lagarto branco,Lagarto blanco,Thằn lằn trắng,흰 도마뱀
Words,Words,Words,词语,詞語,詞語,,Слова,Mots,Palavras,Palabras,Từ ngữ,말들
夜風,Yokaze,,夜風,夜風,夜風,夜風,Ночной ветер,Vent nocturne,Vento noturno,Viento nocturno,Gió đêm,밤바람
apOapSis(Edit),apOapSis(Edit),apOapSis(Edit),apOapSis（Edit）,apOapSis（Edit）,apOapSis（Edit）,,apOapSis(Ред.),apOapSis(Édit),apOapSis(Edit),apOapSis(Edit),apOapSis(Edit),apOapSis(편집)
cafe in 6412I731V,cafe in 6412I731V,cafe in 6412I731V,6412I731V里的咖啡馆,6412I731V裡的咖啡館,6412I731V入面嘅咖啡館,,"кафе в 6412I731V","café dans 6412I731V","café em 6412I731V","café en 6412I731V","quán cà phê trong 6412I731V","6412I731V의 카페"
conflict,conflict,conflict,冲突,衝突,衝突,,Конфликт,Conflit,Conflito,Conflicto,Xung đột,갈등
cybernetic blazar,cybernetic blazar,cybernetic blazar,控制论耀变体,控制論耀變體,控制論耀變體,,Кибернетический блазар,Blazar cybernétique,Blazar cibernético,Blazar cibernético,Blazar điều khiển học,사이버네틱 블레이저
イコラト,eclat,,辉光,輝光,輝光,eclat,eclat,Éclat,Éclat,Éclat,Éclat,에클라
slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG,slic.hertz #GdbG
